cardId,cardName,Rookie,Auto,Relic,Parallel,NumberedTo,Year,Sport,Set,Player,,
19,Nikola Jokic RC 2015 Prizm 335 Silver,1,0,0,Silver,0,2015,Basketball,Prizm,Nikola Jokic,,
20,Devin Booker RC 2015 Prizm 308 Silver,1,0,0,Silver,0,2015,Basketball,Prizm,Devin Booker,,
21,Joel Embiid RC 2014 Prizm 253 Silver,1,0,0,Silver,0,2014,Basketball,Prizm,Joel Embiid,,
22,Zach LaVine RC 2014 Prizm 262 Silver,1,0,0,Silver,0,2014,Basketball,Prizm,Zach LaVine,,
23,Giannis Antetokounmpo RC 2013 Prizm 290,1,0,0,Base,0,2013,Basketball,Prizm,Giannis Antetokounmpo,,
24,Giannis Antetokounmpo RC 2013 Prizm 33 Auto,1,1,0,Base,0,2013,Basketball,Prizm,Giannis Antetokounmpo,,
25,Anthony Davis RC 2012 Prizm 236 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Anthony Davis,,
26,Damian Lillard RC 2012 Prizm 245 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Damian Lillard,,
27,Draymond Green RC 2012 Prizm 282 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Draymond Green,,
28,Kyrie Irving RC 2012 Prizm 201 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Kyrie Irving,,
29,Kawhi Leonard RC 2012 Prizm 209 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Kawhi Leonard,,
30,Klay Thompson RC 2012 Prizm 203 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Klay Thompson,,
31,Jimmy Butler RC 2012 Prizm 205 Silver,1,0,0,Silver,0,2012,Basketball,Prizm,Jimmy Butler,,
32,Stephen Curry RC 2009 Topps 321 Base,1,0,0,Base,0,2009,Basketball,Topps,Stephen Curry,,
33,James Harden RC 2009 Topps 99 Chrome /999,1,0,0,Base,999,2009,Basketball,Topps,James Harden,,
34,DeMar DeRozan RC 2009 Topps 100 Chrome /999,1,0,0,Base,999,2009,Basketball,Topps,DeMar DeRozan,,
35,LeBron James RC 2008 Topps Chrome 23 Refractor,1,0,0,Refractor,0,2008,Basketball,Topps,LeBron James,,
36,Russell Westbrook RC 2008 Topps Chrome 184 Base,1,0,0,Base,0,2008,Basketball,Topps,Russell Westbrook,,
37,Kevin Durant RC 2007 Topps Chrome 131 Refractor /1499,1,0,0,Refractor,1499,2007,Basketball,Topps,Kevin Durant,,
38,LeBron James RC 2003 Topps Pristine 101 Base,1,0,0,Base,0,2003,Basketball,Topps,LeBron James,,
39,LeBron James RC 2003 Topps 221 Base,1,0,0,Base,0,2003,Basketball,Topps,LeBron James,,
40,LeBron James RC 2003 Topps Chrome 111 Base,1,0,0,Base,0,2003,Basketball,Topps,LeBron James,,
41,LeBron James RC 2003 Topps Chrome 111 Refractor,1,0,0,Refractor,0,2003,Basketball,Topps,LeBron James,,
42,Carmelo Anthony RC 2003 Topps Chrome 113 Refractor,1,0,0,Refractor,0,2003,Basketball,Topps,Carmelo Anthony,,
43,Dwayne Wade RC 2003 Topps Chrome 115 Refractor,1,0,0,Refractor,0,2003,Basketball,Topps,Dwayne Wade,,
44,Chris Bosh RC 2003 Topps Chrome 114 Refractor,1,0,0,Refractor,0,2003,Basketball,Topps,Chris Bosh,,
45,Vince Carter RC 1998 Topps Chrome 199 Refractor,1,0,0,Refractor,0,1998,Basketball,Topps,Vince Carter,,
46,Dirk Nowitzki RC 1998 Topps Chrome 154 Refractor,1,0,0,Refractor,0,1998,Basketball,Topps,Dirk Nowitzki,,
47,Paul Pierce RC 1998 Topps Chrome 135 Refractor,1,0,0,Refractor,0,1998,Basketball,Topps,Paul Pierce,,
48,Tim Duncan RC 1997 Topps Chrome 115 Refractor,1,0,0,Refractor,0,1997,Basketball,Topps,Tim Duncan,,
49,Tracy McGrady RC 1997 Topps Chrome 125 Refractor,1,0,0,Refractor,0,1997,Basketball,Topps,Tracy McGrady,,
50,Kobe Bryant RC 1996 Topps 138 Base,1,0,0,Base,0,1996,Basketball,Topps,Kobe Bryant,,
51,Kobe Bryant RC 1996 Topps Chrome 138 Base,1,0,0,Base,0,1996,Basketball,Topps,Kobe Bryant,,
52,Allen Iverson RC 1996 Topps Chrome 171 Base,1,0,0,Base,0,1996,Basketball,Topps,Allen Iverson,,
53,Steve Nash RC 1996 Topps Chrome 182 Base,1,0,0,Base,0,1996,Basketball,Topps,Steve Nash,,
54,Michael Jordan RC 1986 Fleer 57 Base,1,0,0,Base,0,1986,Basketball,Fleer,Michael Jordan,,
55,Charles Barkley RC 1986 Fleer 7 Base,1,0,0,Base,0,1986,Basketball,Fleer,Charles Barkley,,
56,Karl Malone RC 1986 Fleer 68 Base,1,0,0,Base,0,1986,Basketball,Fleer,Karl Malone,,
57,Clyde Drexler RC 1986 Fleer 26 Base,1,0,0,Base,0,1986,Basketball,Fleer,Clyde Drexler,,
58,Dominique Wilkins RC 1986 Fleer 121 Base,1,0,0,Base,0,1986,Basketball,Fleer,Dominique Wilkins,,
59,Isiah Thomas RC 1986 Fleer 109 Base,1,0,0,Base,0,1986,Basketball,Fleer,Isiah Thomas,,
60,Hakeem Olajuwon RC 1986 Fleer 82 Base,1,0,0,Base,0,1986,Basketball,Fleer,Hakeem Olajuwon,,
61,Chris Mullin RC 1986 Fleer 77 Base,1,0,0,Base,0,1986,Basketball,Fleer,Chris Mullin,,
62,Magic Johnson 1986 Fleer 53 Base,0,0,0,Base,0,1986,Basketball,Fleer,Magic Johnson,,
63,Larry Bird 1986 Fleer 9 Base,0,0,0,Base,0,1986,Basketball,Fleer,Larry Bird,,
64,Patrick Ewing RC 1986 Fleer 32 Base,1,0,0,Base,0,1986,Basketball,Fleer,Patrick Ewing,,
65,Derek Jeter RC 1993 Topps 98 Gold,1,0,0,Gold,0,1993,Baseball,Topps,Derek Jeter,,
66,Julio Rodriguez 2019 Bowman BCP 33 Chrome Prospect Refractor /499 (1st),1,0,0,Refractor,499 (1st),2019,Baseball,Bowman,Julio Rodriguez,,
67,Julio Rodriguez 2019 Bowman CPA JRO Chrome Prospect Auto (1st),1,1,0,Base,0,2019,Baseball,Bowman,Julio Rodriguez,,
68,Luis Robert Jr. 2018 Bowman CPA LR Chrome Prospect Auto (1st),1,1,0,Base,0,2018,Baseball,Bowman,Luis Robert,,
69,Shohei Ohtani 2018 Bowman Chrome BCRA SO Rookie Auto (Batting),1,1,0,Base,0,2018,Baseball,Bowman,Shohei Ohtani,,
70,Yordan Alvarez 2018 Bowman Chrome CPA YA Prospect Auto (1st),1,1,0,Base,0,2018,Baseball,Bowman,Yordan Alvarez,,
71,Ronald Acuna Jr. 2018 Topps 698 SP Variation (Bat Down),0,0,0,Base,0,2018,Baseball,Topps,Ronald Acuna,,
72,Ronald Acuna Jr. 2018 Topps Chrome 193 Refractor,0,0,0,Refractor,0,2018,Baseball,Topps,Ronald Acuna,,
73,Shohei Ohtani 2018 Topps Chrome Sapphire Edition 700 Base,0,0,0,Base,0,2018,Baseball,Topps,Shohei Ohtani,,
74,Rafael Devers 2018 Topps Chrome Sapphire Edition 18 Base,0,0,0,Base,0,2018,Baseball,Topps,Rafael Devers,,
75,Juan Soto 2018 Topps Update US300 SSP Variation (Gatorade Bath),0,0,0,Base,0,2018,Baseball,Topps,Juan Soto,,
76,Shohei Ohtani 2018 Topps Chrome Update HMT1 Refractor /250,0,0,0,Refractor,250,2018,Baseball,Topps,Shohei Ohtani,,
77,Ronald Acuna Jr. 2017 Bowman CPA RA Chrome Prospect Auto (1st),1,1,0,Base,0,2017,Baseball,Bowman,Ronald Acuna,,
78,Aaron Judge 2017 Topps Chrome 169 Refractor,0,0,0,Refractor,0,2017,Baseball,Topps,Aaron Judge,,
79,Pete Alonso 2016 Bowman Draft CDA PA Chrome DP Auto,0,1,0,Base,0,2016,Baseball,Bowman,Pete Alonso,,
80,Bo Bichette 2016 Bowman Draft CDA BOB Chrome DP Auto (1st),1,1,0,Base,0,2016,Baseball,Bowman,Bo Bichette,,
81,Vladimir Guerrero Jr. 2016 Bowman Chrome CPA VG Prospect Auto (1st),1,1,0,Base,0,2016,Baseball,Bowman,Vladimir Guerrero,,
82,Fernando Tatis Jr. 2016 Bowman Chrome CPA FT Prospect Auto (1st),1,1,0,Base,0,2016,Baseball,Bowman,Fernando Tatis,,
83,Juan Soto 2016 Bowman Chrome CPA JS Prospect Auto (1st),1,1,0,Base,0,2016,Baseball,Bowman,Juan Soto,,
84,Trae Turner 2014 Bowman Draft BCA TT Chrome DP Auto (1st),1,1,0,Base,0,2014,Baseball,Bowman,Trae Turner,,
85,Mookie Betts  RC 2014 Bowman BCAP MB Chrome Prospect Auto (1st),1,1,0,Base,0,2014,Baseball,Bowman,Mookie Betts,,
86,Mookie Betts  RC 2014 Topps Chrome Update US 20 Base,1,0,0,Base,0,2014,Baseball,Topps,Mookie Betts,,
87,Aaron Judge RC 2013 Bowman Draft BCA AJ Chrome DP Auto,1,1,0,Base,0,2013,Baseball,Bowman,Aaron Judge,,
88,Manny Machado RC 2013 Topps Chrome 12 Refractor,1,0,0,Refractor,0,2013,Baseball,Topps,Manny Machado,,
89,Nolan Arenado RC 2013 Topps Chrome 78 Refractor,1,0,0,Refractor,0,2013,Baseball,Topps,Nolan Arenado,,
90,Bryce Harper RC 2012 Topps Chrome 196 Refractor (Hitting),1,0,0,Refractor,0,2012,Baseball,Topps,Bryce Harper,,
91,Mike Trout RC 2011 Bowman Chrome 175 Base,1,0,0,Base,0,2011,Baseball,Bowman,Mike Trout,,
92,Mike Trout RC 2011 Bowman Draft #101 Chrome,1,0,0,Base,0,2011,Baseball,Bowman,Mike Trout,,
93,Francisco Lindor RC 2011 Bowman Draft BCAP FL Chrome Prospect Auto (1st),1,1,0,Base,0,2011,Baseball,Bowman,Francisco Lindor,,
94,Mike Trout RC 2011 Topps Update US175 Diamond Anniversary,1,0,0,Base,0,2011,Baseball,Topps,Mike Trout,,
95,Jose Altuve RC 2011 Topps Update US132 Diamond Anniversary,1,0,0,Base,0,2011,Baseball,Topps,Jose Altuve,,
96,Clayton Kershaw RC 2008 Topps Update #UH240 Base,1,0,0,Base,0,2008,Baseball,Topps,Clayton Kershaw,,
97,Max Scherzer RC 2008 Topps Update #UH280 Base,1,0,0,Base,0,2008,Baseball,Topps,Max Scherzer,,
98,Derek Jeter RC 1993 SP #279 Foil,1,0,0,Base,0,1993,Baseball,SP,Derek Jeter,,
99,Mike Piazza RC 1992 Bowman #461Base,1,0,0,Base,0,1992,Baseball,Bowman,Mike Piazza,,
100,Mariano Rivera RC 1992 Bowman #302 \Base,1,0,0,Base,0,1992,Baseball,Bowman,Mariano Rivera,,
101,Chipper Jones RC 1991 Topps Tiffany #333 Base,1,0,0,Base,0,1991,Baseball,Topps,Chipper Jones,,
102,Ken Griffey Jr. RC 1989 Donruss #33 Base,1,0,0,Base,0,1989,Baseball,___,Ken Griffey,,
103,Ken Griffey Jr. RC 1989 Fleer #548 Base,1,0,0,Base,0,1989,Baseball,Fleer,Ken Griffey,,
104,Bill Ripken 1989 Fleer #616 Base (FF Error),0,0,0,Base,0,1989,Baseball,Fleer,Bill Ripken,,
105,Ken Griffey Jr. RC 1989 Upper Deck #1 Base,1,0,0,Base,0,1989,Baseball,___,Ken Griffey,,
106,Barry Bonds 1987 Topps Tiffany #320 Base,0,0,0,Base,0,1987,Baseball,Topps,Barry Bonds,,
107,Mark McGwire RC1987 Topps Tiffany #366 Base,1,0,0,Base,0,1987,Baseball,Topps,Mark McGwire,,
108,Greg Maddux RC 1987 Topps Traded Tiffany #70T Base,1,0,0,Base,0,1987,Baseball,Topps,Greg Maddux,,
109,Jose Canseco RC 1986 Donruss #39 Base,1,0,0,Base,0,1986,Baseball,___,Jose Canseco,,
110,Bo Jackson RC 1986 Topps Traded #50T Base,1,0,0,Base,0,1986,Baseball,Topps,Bo Jackson,,
111,Barry Bonds RC 1986 Topps Traded Tiffany #11T Base,1,0,0,Base,0,1986,Baseball,Topps,Barry Bonds,,
112,Roger Clemens RC 1985 Topps #181 Base,1,0,0,Base,0,1985,Baseball,Topps,Roger Clemens,,
113,Mark McGwire RC 1985 Topps #401 Base ('84 USA Baseball Team),1,0,0,Base,0,1985,Baseball,Topps,Mark McGwire,,
114,Kirby Puckett RC 1984 Fleer Update #U-93 Base,1,0,0,Base,0,1984,Baseball,Fleer,Kirby Puckett,,
115,Tony Gwynn RC 1983 Topps #482 Base,1,0,0,Base,0,1983,Baseball,Topps,Tony Gwynn,,
116,Ryne Sandberg RC 1983 Topps #83 Base,1,0,0,Base,0,1983,Baseball,Topps,Ryne Sandberg,,
117,Wade Boggs RC 1983 Topps #498 Base,1,0,0,Base,0,1983,Baseball,Topps,Wade Boggs,,
118,Ichiro Suzuki RC 2001 Topps Chrome Traded #T266 Base,1,0,0,Base,0,2001,Baseball,Topps,Ichiro Suzuki,,
119,Albert Pujols RC 2001 Topps Chrome Traded #T247 Base,1,0,0,Base,0,2001,Baseball,Topps,Albert Pujols,,
120,Miguel Cabrera RC 2000 Topps Chrome Traded #T40 Base,1,0,0,Base,0,2000,Baseball,Topps,Miguel Cabrera,,
121,Michael Jordan 1991 Upper Deck #SP1 Base,0,0,0,Base,0,1991,Baseball,___,Michael Jordan,,
122,Ken Griffey Jr. RC 1989 Topps Traded #41T Base,1,0,0,Base,0,1989,Baseball,Topps,Ken Griffey,,
123,Don Mattingly RC 1984 Donruss #248 Base,1,0,0,Base,0,1984,Baseball,___,Don Mattingly,,
124,Mike Schmidt RC 1973 Topps #615 Rookie 3rd Basemen,1,0,0,Base,0,1973,Baseball,Topps,Mike Schmidt,,
125,Nolan Ryan RC 1968 Topps #177 Rookie Stars,1,0,0,Base,0,1968,Baseball,Topps,Nolan Ryan,,
126,Johnny Bench RC 1968 Topps #247 Rookie Stars,1,0,0,Base,0,1968,Baseball,Topps,Johnny Bench,,
127,Tom Seaver RC 1967 Topps #581 Rookie Stars,1,0,0,Base,0,1967,Baseball,Topps,Tom Seaver,,
128,Willie McCovey RC 1960 Topps #316 Base,1,0,0,Base,0,1960,Baseball,Topps,Willie McCovey,,
129,Bob Gibson RC 1959 Topps #514 Base,1,0,0,Base,0,1959,Baseball,Topps,Bob Gibson,,
130,Brooks Robinson RC 1957 Topps #328 Base,1,0,0,Base,0,1957,Baseball,Topps,Brooks Robinson,,
131,Frank Robinson RC 1957 Topps #35 Base,1,0,0,Base,0,1957,Baseball,Topps, Frank,,
132,Don Drysdale RC 1957 Topps #18 Base,1,0,0,Base,0,1957,Baseball,Topps,Don Drysdale,,
133,Cal Ripken Jr. RC 1982 Topps Traded #98T Base,1,0,0,Base,0,1982,Baseball,Topps,Cal Ripken,,
134,Rickey Henderson RC 1980 Topps #482 Base,1,0,0,Base,0,1980,Baseball,Topps,Rickey Henderson,,
135,Ozzie Smith RC 1979 Topps #116 Base,1,0,0,Base,0,1979,Baseball,Topps,Ozzie Smith,,
136,George Brett RC 1975 Topps #228 Base,1,0,0,Base,0,1975,Baseball,Topps,George Brett,,
137,Robin Yount RC 1975 Topps #223 Base,1,0,0,Base,0,1975,Baseball,Topps,Robin Yount,,
138,Kyler Murray RC 2019 Prizm #301 Silver,1,0,0,Silver,0,2019,Baseball,Prizm,Kyler Murray,,
139,Lamar Jackson RC 2018 Prizm #212 Silver,1,0,0,Silver,0,2018,Baseball,Prizm,Lamar Jackson,,
140,Saquon Barkley RC 2018 Prizm #202 Silver,1,0,0,Silver,0,2018,Baseball,Prizm,Saquon Barkley,,
141,Josh Allen RC 2018 Prizm #205 Silver,1,0,0,Silver,0,2018,Baseball,Prizm,Josh Allen,,
142,Lamar Jackson RC 2018 Optic #167 Holo,1,0,0,Holo,0,2018,Baseball,Optic,Lamar Jackson,,
143,Josh Allen RC 2018 Optic #154 Holo,1,0,0,Holo,0,2018,Baseball,Optic,Josh Allen,,
144,Patrick Mahomes II RC 2017 Prizm #269 Silver,1,0,0,Silver,0,2017,Baseball,Prizm,Patrick Mahomes,,
145,Christian McCaffrey RC 2017 Prizm #249 Silver,1,0,0,Silver,0,2017,Baseball,Prizm,Christian McCaffrey,,
146,Deshaun Watson RC 2017 Prizm #279 Silver,1,0,0,Silver,0,2017,Baseball,Prizm,Deshaun Watson,,
147,TJ Watt RC 2017 Prizm #216 Silver,1,0,0,Silver,0,2017,Baseball,Prizm,TJ Watt,,
148,Myles Garrett RC 2017 Prizm #242 Silver,1,0,0,Silver,0,2017,Baseball,Prizm,Myles Garrett,,
149,Patrick Mahomes II RC 2017 Optic #177 Base,1,0,0,Base,0,2017,Baseball,Optic,Patrick Mahomes,,
150,Jared Goff RC 2016 Prizm #208 Silver,1,0,0,Silver,0,2016,Baseball,Prizm,Jared Goff,,
151,Derrick Henry RC 2016 Prizm #298 Silver,1,0,0,Silver,0,2016,Baseball,Prizm,Derrick Henry,,
152,Dak Prescott RC 2016 Prizm #231 Silver,1,0,0,Silver,0,2016,Baseball,Prizm,Dak Prescott,,
153,Tyreek Hill RC 2016 Prizm #296 Silver,1,0,0,Silver,0,2016,Baseball,Prizm,Tyreek Hill,,
154,Aaron Donald RC 2014 Topps Chrome #175 Refractor,1,0,0,Refractor,0,2014,Baseball,Topps,Aaron Donald,,
155,Russell Wilson RC 2012 Topps Chrome #40 Refractor,1,0,0,Refractor,0,2012,Baseball,Topps,Russell Wilson,,
156,Aaron Rodgers RC 2005 Topps Chrome #190 Base,1,0,0,Base,0,2005,Baseball,Topps,Aaron Rodgers,,
157,Ben Roethlisberger RC 2004 Topps Chrome #166 Base,1,0,0,Base,0,2004,Baseball,Topps,Ben Roethlisberger,,
158,Larry Fitzgerald RC 2004 Topps Chrome #215 Base,1,0,0,Base,0,2004,Baseball,Topps,Larry Fitzgerald,,
159,Eli Manning RC 2004 Topps Chrome #205 Base,1,0,0,Base,0,2004,Baseball,Topps,Eli Manning,,
160,Tom Brady RC 2000 Bowman Chrome #236 Base,1,0,0,Base,0,2000,Baseball,Bowman,Tom Brady,,
161,Tom Brady RC 2000 Upper Deck #254 Star Rookie,1,0,0,Base,0,2000,Baseball,___,Tom Brady,,
162,Peyton Manning RC 1998 Topps Chrome #165 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Peyton Manning,,
163,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
164,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
165,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
166,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
167,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
168,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
169,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
170,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
171,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
172,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
173,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
174,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
175,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
176,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
177,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
178,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
179,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
180,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
181,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
182,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
183,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
184,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
185,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
186,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
187,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
188,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
189,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
190,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
191,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
192,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
193,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
194,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
195,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
196,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
197,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
198,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
199,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
200,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
201,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
202,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
203,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
204,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
205,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
206,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
207,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
208,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
209,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
210,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
211,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
212,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
213,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
214,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
215,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
216,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
217,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
218,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
219,Randy Moss RC 1998 Topps Chrome #35 Refractor,1,0,0,Refractor,0,1998,Baseball,Topps,Randy Moss,,
